,name,personality_type,I,N,T,P,F,J,S,E
133,Floral Designer,ISFJ,81,-1,-1,-1,100,56,81,-1
134,Carpenter,ISTP,100,-1,100,100,-1,-1,100,-1
135,Auctioneer,ESFP,-1,-1,-1,67,83,-1,83,67
136,Flight Instructor,ESTJ,-1,-1,100,-1,-1,67,100,50
137,Bill Collector,ESTJ,-1,-1,100,-1,-1,100,100,88
138,School Principal,ESTJ,-1,-1,85,-1,-1,100,90,95
139,Bar Owner,ESTP,-1,-1,88,100,-1,-1,94,94
140,Corporate Finance Attorney,ESTJ,-1,-1,100,-1,-1,86,86,100
141,Copywriter,ENFP,-1,100,-1,94,75,-1,-1,75
142,Film Producer,INTJ,83,83,72,-1,-1,83,-1,-1
143,Arts/Drama Professor,ENFJ,-1,92,-1,-1,100,58,-1,92
144,Special Education Teacher,ENFJ,-1,92,-1,-1,92,92,-1,77
145,Podcast Producer,ENTP,-1,100,67,94,-1,-1,-1,100
146,Theatre Director,ENFP,-1,79,-1,79,93,-1,-1,86
147,Blogger,ESFP,-1,-1,-1,74,84,-1,53,95
148,Debt Collector,ESTJ,-1,-1,100,-1,-1,100,100,100
149,Civil Rights Activist,ENFJ,-1,100,-1,-1,100,83,-1,90
150,Buckingham Palace Guard,ISTJ,87,-1,90,-1,-1,90,90,-1
151,Publicist,ENFJ,-1,79,-1,-1,93,79,-1,93
152,Playwright,INFP,96,96,-1,84,92,-1,-1,-1
153,Street Food Vendor,ESFP,-1,-1,-1,89,100,-1,100,100
154,Cabinetmaker,ISTP,100,-1,90,100,-1,-1,100,-1
155,Diagnostic Medical Sonographer,ISFJ,83,-1,-1,-1,83,100,100,-1
156,TV Camera Operator,ISTJ,100,-1,100,-1,-1,70,100,-1
157,Epidemiologist,INTP,100,84,95,68,-1,-1,-1,-1
158,Dermatopathologist,ISTJ,100,-1,78,-1,-1,100,78,-1
159,Ethnologist,INFJ,89,100,-1,-1,100,100,-1,-1
160,Landscape Architect,ENFP,-1,93,-1,93,73,-1,-1,80
161,Geostationary Satellite Monitor,INTP,100,86,100,86,-1,-1,-1,-1
162,Nursery Teacher,ESFJ,-1,-1,-1,-1,98,88,82,84
163,Ornithologist,INFP,89,89,-1,95,89,-1,-1,-1
164,Parasitologist,INTJ,76,94,100,-1,-1,53,-1,-1
165,Bacteriologist,INTP,100,93,96,85,-1,-1,-1,-1
166,Concierge,ESFJ,-1,-1,-1,-1,100,100,100,100
167,Food Blogger,ESFJ,-1,-1,-1,-1,100,82,94,88
168,Career Counselor,ENTJ,-1,81,61,-1,-1,97,-1,83
169,Paparazzo,ESTP,-1,-1,55,100,-1,-1,100,100
170,Bailiff,ISTJ,100,-1,100,-1,-1,100,100,-1
171,Gravedigger,ISTJ,100,-1,100,-1,-1,71,100,-1
172,Lobbyist,ENTP,-1,56,100,69,-1,-1,-1,100
173,Electromagnetist,INTP,100,100,100,68,-1,-1,-1,-1
174,Thermodynamicist,INTP,100,100,100,75,-1,-1,-1,-1
175,Pesticide Handler / Sprayer / Applicator,ISTP,100,-1,100,100,-1,-1,100,-1
176,Tree Trimmer and Pruner,ISTP,100,-1,55,73,-1,-1,82,-1
177,Pediatric Psychologist,ENFP,-1,100,-1,100,100,-1,-1,100
178,Engineer,ISTP,80,-1,100,73,-1,-1,80,-1
179,Sailor,ISTP,88,-1,75,88,-1,-1,88,-1
