,name,personality_type,I,N,T,P,F,J,S,E
220,Hardvapour,ENTP,-1,100,100,100,-1,-1,-1,100
221,Cloud Rap,ISFP,85,-1,-1,100,85,-1,77,-1
222,Dance Punk,ENFP,-1,78,-1,89,89,-1,-1,89
223,Dark Psytrance,INTJ,70,100,96,-1,-1,65,-1,-1
224,Post-Grunge,ISFP,75,-1,-1,100,88,-1,100,-1
225,Glitch Pop,INTP,100,100,96,96,-1,-1,-1,-1
226,Drone Music,INTP,96,100,100,68,-1,-1,-1,-1
227,Glitch,INTP,88,100,85,94,-1,-1,-1,-1
228,J-Metal,ENFP,-1,92,-1,96,71,-1,-1,96
229,Industrial Rock,INTJ,71,96,94,-1,-1,69,-1,-1
230,House,ESFP,-1,-1,-1,94,74,-1,84,87
231,Neofolk,INFJ,97,93,-1,-1,90,97,-1,-1
232,Southern Rock,ISTP,82,-1,76,94,-1,-1,94,-1
233,Russian Rock,ISTP,100,-1,64,71,-1,-1,50,-1
234,Sadcore,INFP,100,100,-1,100,100,-1,-1,-1
235,Cumbia,ESFP,-1,-1,-1,100,100,-1,73,100
236,Post-punk revival,INTP,68,100,100,100,-1,-1,-1,-1
237,Jazz Fusion,ENTP,-1,100,90,80,-1,-1,-1,90
238,Catholic Psychedelic Synth Folk,ISFP,100,-1,-1,100,100,-1,100,-1
239,Shibuya Kei,ENFP,-1,83,-1,92,75,-1,-1,67
240,Art Punk,INFP,80,90,-1,100,80,-1,-1,-1
241,Free Jazz,ENTP,-1,100,92,100,-1,-1,-1,75
242,Downtempo (Chill-Out Music),ISFP,100,-1,-1,85,77,-1,46,-1
243,Hypnagogic pop,INFP,77,100,-1,100,100,-1,-1,-1
244,Glam Rock,ESFP,-1,-1,-1,94,62,-1,88,85
245,Horror Punk,ISTP,80,-1,85,90,-1,-1,90,-1
246,Future Bass,ENFP,-1,62,-1,97,100,-1,-1,55
247,Electronica,ENFP,-1,90,-1,90,86,-1,-1,57
248,Afrobeat,ESFP,-1,-1,-1,90,90,-1,85,100
249,Artcore,INFP,97,97,-1,90,80,-1,-1,-1
250,Latin Pop,ESFP,-1,-1,-1,100,92,-1,92,96
251,New Age,INFJ,92,97,-1,-1,90,87,-1,-1
252,Traditional Pop,ESTJ,-1,-1,65,-1,-1,96,92,73
253,Noise Rock,INTP,86,94,94,100,-1,-1,-1,-1
254,Goregrind,ESTP,-1,-1,75,100,-1,-1,75,75
255,Lofi HipHop,INFP,100,52,-1,90,81,-1,-1,-1
256,Manele (Gypsy Music),ESFP,-1,-1,-1,71,86,-1,86,86
257,Daycore,INTP,100,100,75,79,-1,-1,-1,-1
258,Abstract Hip Hop,INTP,75,100,96,100,-1,-1,-1,-1
259,Dangdut,ESFP,-1,-1,-1,100,100,-1,100,100
260,Classical Crossover,ENTJ,-1,100,100,-1,-1,100,-1,100
261,Glam Metal,ESFP,-1,-1,-1,94,83,-1,100,100
262,Italo Disco,ENFP,-1,80,-1,100,100,-1,-1,100
263,Soft Rock,ISFJ,100,-1,-1,-1,84,74,74,-1
264,Slowcore,INFP,100,100,-1,95,100,-1,-1,-1
265,Stoner Metal,INTP,100,71,92,95,-1,-1,-1,-1
266,Garage Rock,ISTP,89,-1,85,100,-1,-1,81,-1
